16:59:30,TomaNro= 70,    Disip: ,39.0, ºC     , Peltier: ,9.81, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,443 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:59:36,TomaNro= 71,    Disip: ,39.0, ºC     , Peltier: ,9.24, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,449 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:59:43,TomaNro= 72,    Disip: ,39.0, ºC     , Peltier: ,8.69, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,455 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:59:49,TomaNro= 73,    Disip: ,39.0, ºC     , Peltier: ,8.19, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,462 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
16:59:55,TomaNro= 74,    Disip: ,39.0, ºC     , Peltier: ,7.71, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,468 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:0:2,TomaNro= 75,    Disip: ,39.0, ºC     , Peltier: ,7.25, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,475 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:0:8,TomaNro= 76,    Disip: ,39.0, ºC     , Peltier: ,6.82, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,481 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:0:15,TomaNro= 77,    Disip: ,39.0, ºC     , Peltier: ,6.41, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,488 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:0:21,TomaNro= 78,    Disip: ,39.0, ºC     , Peltier: ,6.03, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,494 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=253,
17:0:28,TomaNro= 79,    Disip: ,39.0, ºC     , Peltier: ,5.68, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,501 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=212,
17:0:34,TomaNro= 80,    Disip: ,39.0, ºC     , Peltier: ,5.47, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,507 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,BALANCEconPWM=165,
17:0:41,TomaNro= 81,    Disip: ,39.56, ºC     , Peltier: ,5.98, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,514 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,BALANCEconPWM=165,
17:0:47,TomaNro= 82,    Disip: ,39.56, ºC     , Peltier: ,6.84, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,520 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=212,
17:0:53,TomaNro= 83,    Disip: ,39.56, ºC     , Peltier: ,7.1, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,526 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:0:59,TomaNro= 84,    Disip: ,39.56, ºC     , Peltier: ,6.9, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,532 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:1:5,TomaNro= 85,    Disip: ,39.56, ºC     , Peltier: ,6.54, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,538 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:1:11,TomaNro= 86,    Disip: ,39.56, ºC     , Peltier: ,6.15, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,544 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:1:17,TomaNro= 87,    Disip: ,39.56, ºC     , Peltier: ,5.78, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,550 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=235,
17:1:23,TomaNro= 88,    Disip: ,39.56, ºC     , Peltier: ,5.45, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,556 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=165,
17:1:29,TomaNro= 89,    Disip: ,39.56, ºC     , Peltier: ,5.35, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,562 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,BALANCEconPWM=165,
17:1:35,TomaNro= 90,    Disip: ,39.56, ºC     , Peltier: ,5.84, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.75, ºC     , Corrida: ,568 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,BALANCEconPWM=165,
17:1:41,TomaNro= 91,    Disip: ,39.56, ºC     , Peltier: ,6.57, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,574 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=183,
17:1:47,TomaNro= 92,    Disip: ,39.56, ºC     , Peltier: ,6.88, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,580 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:1:53,TomaNro= 93,    Disip: ,39.56, ºC     , Peltier: ,6.71, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,586 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:1:59,TomaNro= 94,    Disip: ,39.56, ºC     , Peltier: ,6.35, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,592 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:2:5,TomaNro= 95,    Disip: ,39.56, ºC     , Peltier: ,5.95, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,598 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=250,
17:2:11,TomaNro= 96,    Disip: ,39.56, ºC     , Peltier: ,5.56, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,604 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=197,
17:2:17,TomaNro= 97,    Disip: ,39.56, ºC     , Peltier: ,5.35, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,610 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,BALANCEconPWM=165,
17:2:23,TomaNro= 98,    Disip: ,39.56, ºC     , Peltier: ,5.73, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,616 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,BALANCEconPWM=165,
17:2:29,TomaNro= 99,    Disip: ,39.56, ºC     , Peltier: ,6.47, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,622 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,BALANCEconPWM=165,
17:2:35,TomaNro= 100,    Disip: ,39.56, ºC     , Peltier: ,7.22, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,627 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:2:40,TomaNro= 101,    Disip: ,39.56, ºC     , Peltier: ,7.34, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,633 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:2:46,TomaNro= 102,    Disip: ,39.56, ºC     , Peltier: ,7.02, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,639 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255,
17:2:52,TomaNro= 103,    Disip: ,39.56, ºC     , Peltier: ,6.56, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,645 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255EVENTO= 1,
17:2:58,TomaNro= 104,    Disip: ,39.56, ºC     , Peltier: ,6.12, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,651 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=255EVENTO= 2,
17:3:4,TomaNro= 105,    Disip: ,39.56, ºC     , Peltier: ,5.69, ºC     , teInsta: ,5.0, ºC     , teAire: ,19.5, ºC     , Corrida: ,657 seg , T1 Goal: ,5.0,T2 Meta ,5.0,Modo ,1  E: ,COOLINGconPWM=225,
