13:54:48,TomaNro= 39,    Disip: ,25.0, ºC     , Peltier: ,18.03, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,242 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:54:54,TomaNro= 40,    Disip: ,25.0, ºC     , Peltier: ,18.12, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.0, ºC     , Corrida: ,248 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:0,TomaNro= 41,    Disip: ,25.0, ºC     , Peltier: ,18.21, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.25, ºC     , Corrida: ,254 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:6,TomaNro= 42,    Disip: ,25.0, ºC     , Peltier: ,18.33, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.25, ºC     , Corrida: ,260 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:12,TomaNro= 43,    Disip: ,25.0, ºC     , Peltier: ,18.42, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.25, ºC     , Corrida: ,266 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:18,TomaNro= 44,    Disip: ,25.0, ºC     , Peltier: ,18.51, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.25, ºC     , Corrida: ,272 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:24,TomaNro= 45,    Disip: ,25.0, ºC     , Peltier: ,18.59, ºC     , teInsta: ,26.64, ºC     , teAire: ,20.25, ºC     , Corrida: ,278 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:30,TomaNro= 46,    Disip: ,25.0, ºC     , Peltier: ,18.68, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,284 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:36,TomaNro= 47,    Disip: ,25.0, ºC     , Peltier: ,18.77, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,290 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:42,TomaNro= 48,    Disip: ,25.0, ºC     , Peltier: ,18.84, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,296 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:49,TomaNro= 49,    Disip: ,23.56, ºC     , Peltier: ,18.92, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,303 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:55:55,TomaNro= 50,    Disip: ,23.5, ºC     , Peltier: ,19.0, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,309 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:2,TomaNro= 51,    Disip: ,23.5, ºC     , Peltier: ,19.15, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,316 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:8,TomaNro= 52,    Disip: ,23.5, ºC     , Peltier: ,19.9, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,322 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:15,TomaNro= 53,    Disip: ,23.5, ºC     , Peltier: ,21.0, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,329 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:21,TomaNro= 54,    Disip: ,23.5, ºC     , Peltier: ,22.12, ºC     , teInsta: ,27.42, ºC     , teAire: ,20.25, ºC     , Corrida: ,335 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:27,TomaNro= 55,    Disip: ,23.5, ºC     , Peltier: ,23.12, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,341 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:33,TomaNro= 56,    Disip: ,23.5, ºC     , Peltier: ,24.1, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,347 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:39,TomaNro= 57,    Disip: ,23.5, ºC     , Peltier: ,25.03, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,353 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:45,TomaNro= 58,    Disip: ,23.5, ºC     , Peltier: ,25.9, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,359 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:51,TomaNro= 59,    Disip: ,23.5, ºC     , Peltier: ,26.75, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,365 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:56:57,TomaNro= 60,    Disip: ,23.5, ºC     , Peltier: ,27.56, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,371 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=253,
13:57:3,TomaNro= 61,    Disip: ,23.5, ºC     , Peltier: ,28.29, ºC     , teInsta: ,28.15, ºC     , teAire: ,20.25, ºC     , Corrida: ,377 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:57:10,TomaNro= 62,    Disip: ,23.5, ºC     , Peltier: ,28.5, ºC     , teInsta: ,28.15, ºC     , teAire: ,19.75, ºC     , Corrida: ,383 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:57:16,TomaNro= 63,    Disip: ,23.5, ºC     , Peltier: ,28.35, ºC     , teInsta: ,28.15, ºC     , teAire: ,19.75, ºC     , Corrida: ,390 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:57:22,TomaNro= 64,    Disip: ,23.5, ºC     , Peltier: ,28.09, ºC     , teInsta: ,28.15, ºC     , teAire: ,19.75, ºC     , Corrida: ,396 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:57:28,TomaNro= 65,    Disip: ,23.5, ºC     , Peltier: ,27.82, ºC     , teInsta: ,28.82, ºC     , teAire: ,19.75, ºC     , Corrida: ,402 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:57:34,TomaNro= 66,    Disip: ,23.5, ºC     , Peltier: ,27.54, ºC     , teInsta: ,28.82, ºC     , teAire: ,19.75, ºC     , Corrida: ,408 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=212,
13:57:40,TomaNro= 67,    Disip: ,23.5, ºC     , Peltier: ,27.71, ºC     , teInsta: ,28.82, ºC     , teAire: ,19.75, ºC     , Corrida: ,414 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=250,
13:57:46,TomaNro= 68,    Disip: ,23.5, ºC     , Peltier: ,28.21, ºC     , teInsta: ,28.82, ºC     , teAire: ,19.75, ºC     , Corrida: ,420 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=225,
13:57:52,TomaNro= 69,    Disip: ,23.5, ºC     , Peltier: ,28.8, ºC     , teInsta: ,28.82, ºC     , teAire: ,19.75, ºC     , Corrida: ,426 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:57:58,TomaNro= 70,    Disip: ,23.5, ºC     , Peltier: ,28.92, ºC     , teInsta: ,28.82, ºC     , teAire: ,19.75, ºC     , Corrida: ,432 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:58:4,TomaNro= 71,    Disip: ,23.5, ºC     , Peltier: ,28.73, ºC     , teInsta: ,28.82, ºC     , teAire: ,19.75, ºC     , Corrida: ,438 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:58:10,TomaNro= 72,    Disip: ,23.5, ºC     , Peltier: ,28.46, ºC     , teInsta: ,28.82, ºC     , teAire: ,19.75, ºC     , Corrida: ,444 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:58:16,TomaNro= 73,    Disip: ,23.5, ºC     , Peltier: ,28.13, ºC     , teInsta: ,28.82, ºC     , teAire: ,19.5, ºC     , Corrida: ,450 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:58:22,TomaNro= 74,    Disip: ,23.5, ºC     , Peltier: ,27.85, ºC     , teInsta: ,28.82, ºC     , teAire: ,19.5, ºC     , Corrida: ,456 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:58:28,TomaNro= 75,    Disip: ,23.5, ºC     , Peltier: ,27.58, ºC     , teInsta: ,29.44, ºC     , teAire: ,19.5, ºC     , Corrida: ,462 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:58:34,TomaNro= 76,    Disip: ,23.5, ºC     , Peltier: ,27.82, ºC     , teInsta: ,29.44, ºC     , teAire: ,19.5, ºC     , Corrida: ,468 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:58:40,TomaNro= 77,    Disip: ,23.5, ºC     , Peltier: ,28.41, ºC     , teInsta: ,29.44, ºC     , teAire: ,19.5, ºC     , Corrida: ,474 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:58:46,TomaNro= 78,    Disip: ,23.5, ºC     , Peltier: ,29.08, ºC     , teInsta: ,29.44, ºC     , teAire: ,19.5, ºC     , Corrida: ,480 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=212,
13:58:53,TomaNro= 79,    Disip: ,23.5, ºC     , Peltier: ,29.67, ºC     , teInsta: ,29.44, ºC     , teAire: ,19.5, ºC     , Corrida: ,486 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:58:59,TomaNro= 80,    Disip: ,23.5, ºC     , Peltier: ,29.76, ºC     , teInsta: ,29.44, ºC     , teAire: ,19.5, ºC     , Corrida: ,493 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:59:5,TomaNro= 81,    Disip: ,23.5, ºC     , Peltier: ,29.53, ºC     , teInsta: ,29.44, ºC     , teAire: ,19.5, ºC     , Corrida: ,499 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:59:11,TomaNro= 82,    Disip: ,23.5, ºC     , Peltier: ,29.2, ºC     , teInsta: ,29.44, ºC     , teAire: ,19.5, ºC     , Corrida: ,505 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:59:17,TomaNro= 83,    Disip: ,23.5, ºC     , Peltier: ,28.86, ºC     , teInsta: ,29.44, ºC     , teAire: ,19.25, ºC     , Corrida: ,511 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:59:23,TomaNro= 84,    Disip: ,23.5, ºC     , Peltier: ,28.51, ºC     , teInsta: ,29.44, ºC     , teAire: ,19.25, ºC     , Corrida: ,517 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:59:29,TomaNro= 85,    Disip: ,23.5, ºC     , Peltier: ,28.22, ºC     , teInsta: ,29.99, ºC     , teAire: ,19.25, ºC     , Corrida: ,523 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:59:35,TomaNro= 86,    Disip: ,23.5, ºC     , Peltier: ,28.44, ºC     , teInsta: ,29.99, ºC     , teAire: ,19.25, ºC     , Corrida: ,529 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:59:41,TomaNro= 87,    Disip: ,23.5, ºC     , Peltier: ,29.0, ºC     , teInsta: ,29.99, ºC     , teAire: ,19.25, ºC     , Corrida: ,535 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
13:59:47,TomaNro= 88,    Disip: ,23.5, ºC     , Peltier: ,29.66, ºC     , teInsta: ,29.99, ºC     , teAire: ,19.25, ºC     , Corrida: ,541 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=212,
13:59:53,TomaNro= 89,    Disip: ,23.5, ºC     , Peltier: ,30.21, ºC     , teInsta: ,29.99, ºC     , teAire: ,19.25, ºC     , Corrida: ,547 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
13:59:59,TomaNro= 90,    Disip: ,23.5, ºC     , Peltier: ,30.29, ºC     , teInsta: ,29.99, ºC     , teAire: ,19.25, ºC     , Corrida: ,553 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
14:0:5,TomaNro= 91,    Disip: ,23.5, ºC     , Peltier: ,30.03, ºC     , teInsta: ,29.99, ºC     , teAire: ,19.25, ºC     , Corrida: ,559 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
14:0:11,TomaNro= 92,    Disip: ,23.5, ºC     , Peltier: ,29.69, ºC     , teInsta: ,29.99, ºC     , teAire: ,19.25, ºC     , Corrida: ,565 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
14:0:18,TomaNro= 93,    Disip: ,23.5, ºC     , Peltier: ,29.33, ºC     , teInsta: ,29.99, ºC     , teAire: ,19.25, ºC     , Corrida: ,572 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
14:0:24,TomaNro= 94,    Disip: ,23.5, ºC     , Peltier: ,28.96, ºC     , teInsta: ,29.99, ºC     , teAire: ,19.0, ºC     , Corrida: ,578 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
14:0:30,TomaNro= 95,    Disip: ,23.5, ºC     , Peltier: ,28.66, ºC     , teInsta: ,30.48, ºC     , teAire: ,19.0, ºC     , Corrida: ,584 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
14:0:36,TomaNro= 96,    Disip: ,23.5, ºC     , Peltier: ,28.85, ºC     , teInsta: ,30.48, ºC     , teAire: ,19.0, ºC     , Corrida: ,590 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
14:0:42,TomaNro= 97,    Disip: ,23.5, ºC     , Peltier: ,29.39, ºC     , teInsta: ,30.48, ºC     , teAire: ,19.0, ºC     , Corrida: ,596 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=255,
14:0:48,TomaNro= 98,    Disip: ,23.5, ºC     , Peltier: ,30.04, ºC     , teInsta: ,30.48, ºC     , teAire: ,19.0, ºC     , Corrida: ,602 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,HEATINGconPWM=225,
14:0:54,TomaNro= 99,    Disip: ,23.5, ºC     , Peltier: ,30.6, ºC     , teInsta: ,30.48, ºC     , teAire: ,19.0, ºC     , Corrida: ,608 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
14:1:0,TomaNro= 100,    Disip: ,23.5, ºC     , Peltier: ,30.68, ºC     , teInsta: ,30.48, ºC     , teAire: ,19.0, ºC     , Corrida: ,614 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
14:1:6,TomaNro= 101,    Disip: ,23.5, ºC     , Peltier: ,30.41, ºC     , teInsta: ,30.48, ºC     , teAire: ,19.0, ºC     , Corrida: ,620 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
14:1:12,TomaNro= 102,    Disip: ,23.5, ºC     , Peltier: ,30.04, ºC     , teInsta: ,30.48, ºC     , teAire: ,19.0, ºC     , Corrida: ,626 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
14:1:18,TomaNro= 103,    Disip: ,23.5, ºC     , Peltier: ,29.68, ºC     , teInsta: ,30.48, ºC     , teAire: ,19.0, ºC     , Corrida: ,632 seg , T1 Goal: ,13.0,T2 Meta ,26.0,Modo ,3  E: ,BALANCEconPWM=165,
