0:11:45,TomaNro= 46,    Disip: ,31.25, ºC     , Peltier: ,16.52, ºC     , teInsta: ,23.92, ºC     , teAire: ,21.5, ºC     , Corrida: ,284 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:11:51,TomaNro= 47,    Disip: ,31.25, ºC     , Peltier: ,17.28, ºC     , teInsta: ,19.65, ºC     , teAire: ,21.5, ºC     , Corrida: ,290 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:11:58,TomaNro= 48,    Disip: ,31.25, ºC     , Peltier: ,19.04, ºC     , teInsta: ,18.01, ºC     , teAire: ,21.5, ºC     , Corrida: ,297 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,BALANCEconPWM=165,

0:12:4,TomaNro= 49,    Disip: ,31.25, ºC     , Peltier: ,20.04, ºC     , teInsta: ,17.33, ºC     , teAire: ,21.5, ºC     , Corrida: ,303 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:12:10,TomaNro= 50,    Disip: ,31.25, ºC     , Peltier: ,19.94, ºC     , teInsta: ,17.13, ºC     , teAire: ,21.5, ºC     , Corrida: ,309 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:12:16,TomaNro= 51,    Disip: ,31.25, ºC     , Peltier: ,19.27, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,315 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:12:22,TomaNro= 52,    Disip: ,31.25, ºC     , Peltier: ,18.46, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,321 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:12:28,TomaNro= 53,    Disip: ,31.25, ºC     , Peltier: ,17.65, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,327 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:12:34,TomaNro= 54,    Disip: ,31.25, ºC     , Peltier: ,16.83, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,333 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,BALANCEconPWM=165,

0:12:40,TomaNro= 55,    Disip: ,31.25, ºC     , Peltier: ,16.78, ºC     , teInsta: ,30.12, ºC     , teAire: ,21.5, ºC     , Corrida: ,339 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:12:46,TomaNro= 56,    Disip: ,31.25, ºC     , Peltier: ,17.82, ºC     , teInsta: ,22.02, ºC     , teAire: ,21.5, ºC     , Corrida: ,345 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:12:53,TomaNro= 57,    Disip: ,31.25, ºC     , Peltier: ,19.64, ºC     , teInsta: ,18.92, ºC     , teAire: ,21.5, ºC     , Corrida: ,352 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=225,

0:12:59,TomaNro= 58,    Disip: ,31.25, ºC     , Peltier: ,21.26, ºC     , teInsta: ,17.74, ºC     , teAire: ,21.5, ºC     , Corrida: ,358 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:13:5,TomaNro= 59,    Disip: ,31.25, ºC     , Peltier: ,21.59, ºC     , teInsta: ,17.28, ºC     , teAire: ,21.5, ºC     , Corrida: ,364 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:13:11,TomaNro= 60,    Disip: ,31.25, ºC     , Peltier: ,20.98, ºC     , teInsta: ,17.11, ºC     , teAire: ,21.5, ºC     , Corrida: ,370 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:13:17,TomaNro= 61,    Disip: ,31.25, ºC     , Peltier: ,20.15, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,376 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:13:23,TomaNro= 62,    Disip: ,31.25, ºC     , Peltier: ,19.28, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,382 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:13:29,TomaNro= 63,    Disip: ,31.25, ºC     , Peltier: ,18.41, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,388 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:13:35,TomaNro= 64,    Disip: ,31.25, ºC     , Peltier: ,17.57, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,394 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=253,

0:13:41,TomaNro= 65,    Disip: ,31.25, ºC     , Peltier: ,16.88, ºC     , teInsta: ,30.12, ºC     , teAire: ,21.5, ºC     , Corrida: ,400 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:13:47,TomaNro= 66,    Disip: ,31.25, ºC     , Peltier: ,17.5, ºC     , teInsta: ,22.02, ºC     , teAire: ,21.5, ºC     , Corrida: ,406 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:13:54,TomaNro= 67,    Disip: ,31.25, ºC     , Peltier: ,19.23, ºC     , teInsta: ,18.92, ºC     , teAire: ,21.5, ºC     , Corrida: ,413 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=253,

0:14:0,TomaNro= 68,    Disip: ,31.25, ºC     , Peltier: ,20.92, ºC     , teInsta: ,17.63, ºC     , teAire: ,21.5, ºC     , Corrida: ,419 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:14:6,TomaNro= 69,    Disip: ,31.25, ºC     , Peltier: ,21.33, ºC     , teInsta: ,17.24, ºC     , teAire: ,21.25, ºC     , Corrida: ,425 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

