10:56:15,TomaNro= 78,    Disip: ,26.12, ºC     , Peltier: ,18.51, ºC     , teInsta: ,18.19, ºC     , teAire: ,19.75, ºC     , Corrida: ,505 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:56:22,TomaNro= 79,    Disip: ,26.12, ºC     , Peltier: ,18.71, ºC     , teInsta: ,18.19, ºC     , teAire: ,19.75, ºC     , Corrida: ,512 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:56:29,TomaNro= 80,    Disip: ,25.19, ºC     , Peltier: ,18.89, ºC     , teInsta: ,18.19, ºC     , teAire: ,19.75, ºC     , Corrida: ,519 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:56:36,TomaNro= 81,    Disip: ,25.19, ºC     , Peltier: ,19.04, ºC     , teInsta: ,18.19, ºC     , teAire: ,19.75, ºC     , Corrida: ,526 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:56:42,TomaNro= 82,    Disip: ,25.19, ºC     , Peltier: ,19.14, ºC     , teInsta: ,18.19, ºC     , teAire: ,19.75, ºC     , Corrida: ,532 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=183,
10:56:48,TomaNro= 83,    Disip: ,25.19, ºC     , Peltier: ,18.78, ºC     , teInsta: ,18.01, ºC     , teAire: ,19.75, ºC     , Corrida: ,538 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=235,
10:56:55,TomaNro= 84,    Disip: ,25.19, ºC     , Peltier: ,17.9, ºC     , teInsta: ,18.01, ºC     , teAire: ,19.75, ºC     , Corrida: ,545 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=165,
10:57:2,TomaNro= 85,    Disip: ,25.19, ºC     , Peltier: ,17.07, ºC     , teInsta: ,18.01, ºC     , teAire: ,19.75, ºC     , Corrida: ,552 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:57:9,TomaNro= 86,    Disip: ,25.87, ºC     , Peltier: ,16.96, ºC     , teInsta: ,18.01, ºC     , teAire: ,19.75, ºC     , Corrida: ,559 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=197,
10:57:16,TomaNro= 87,    Disip: ,25.87, ºC     , Peltier: ,17.8, ºC     , teInsta: ,18.01, ºC     , teAire: ,19.75, ºC     , Corrida: ,565 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,HEATINGconPWM=212,
10:57:22,TomaNro= 88,    Disip: ,25.87, ºC     , Peltier: ,19.19, ºC     , teInsta: ,18.01, ºC     , teAire: ,19.75, ºC     , Corrida: ,572 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:57:28,TomaNro= 89,    Disip: ,25.87, ºC     , Peltier: ,19.89, ºC     , teInsta: ,18.01, ºC     , teAire: ,19.75, ºC     , Corrida: ,578 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=235,
10:57:34,TomaNro= 90,    Disip: ,25.87, ºC     , Peltier: ,19.56, ºC     , teInsta: ,18.01, ºC     , teAire: ,19.75, ºC     , Corrida: ,584 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=255,
10:57:41,TomaNro= 91,    Disip: ,25.25, ºC     , Peltier: ,18.6, ºC     , teInsta: ,18.01, ºC     , teAire: ,19.75, ºC     , Corrida: ,591 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,COOLINGconPWM=255,
10:57:48,TomaNro= 92,    Disip: ,26.12, ºC     , Peltier: ,17.48, ºC     , teInsta: ,18.01, ºC     , teAire: ,19.75, ºC     , Corrida: ,598 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:57:55,TomaNro= 93,    Disip: ,27.12, ºC     , Peltier: ,17.19, ºC     , teInsta: ,17.86, ºC     , teAire: ,19.75, ºC     , Corrida: ,605 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:58:2,TomaNro= 94,    Disip: ,27.12, ºC     , Peltier: ,17.36, ºC     , teInsta: ,17.86, ºC     , teAire: ,19.75, ºC     , Corrida: ,612 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
10:58:9,TomaNro= 95,    Disip: ,27.12, ºC     , Peltier: ,17.61, ºC     , teInsta: ,17.86, ºC     , teAire: ,19.75, ºC     , Corrida: ,619 seg , T1 Goal: ,13.0,T2 Meta ,24.0,Modo ,3  E: ,BALANCEconPWM=165,
