12.75, ºC     ,19:45:3,TomaNro= 72,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.69, ºC     ,19:45:5,TomaNro= 73,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.63, ºC     ,19:45:6,TomaNro= 74,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.56, ºC     ,19:45:6,TomaNro= 75,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.5, ºC     ,19:45:8,TomaNro= 76,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.44, ºC     ,19:45:8,TomaNro= 77,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.38, ºC     ,19:45:10,TomaNro= 78,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.31, ºC     ,19:45:11,TomaNro= 79,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.25, ºC     ,19:45:12,TomaNro= 80,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.19, ºC     ,19:45:13,TomaNro= 81,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.13, ºC     ,19:45:14,TomaNro= 82,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.06, ºC     ,19:45:16,TomaNro= 83,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
12.0, ºC     ,19:45:17,TomaNro= 84,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.94, ºC     ,19:45:18,TomaNro= 85,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.88, ºC     ,19:45:19,TomaNro= 86,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.81, ºC     ,19:45:21,TomaNro= 87,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.75, ºC     ,19:45:22,TomaNro= 88,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.69, ºC     ,19:45:23,TomaNro= 89,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.63, ºC     ,19:45:24,TomaNro= 90,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.56, ºC     ,19:45:26,TomaNro= 91,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.5, ºC     ,19:45:27,TomaNro= 92,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.44, ºC     ,19:45:28,TomaNro= 93,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.38, ºC     ,19:45:29,TomaNro= 94,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.31, ºC     ,19:45:31,TomaNro= 95,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.25, ºC     ,19:45:33,TomaNro= 96,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.19, ºC     ,19:45:33,TomaNro= 97,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.13, ºC     ,19:45:35,TomaNro= 98,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.06, ºC     ,19:45:37,TomaNro= 99,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
11.0, ºC     ,19:45:38,TomaNro= 100,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.94, ºC     ,19:45:40,TomaNro= 101,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.88, ºC     ,19:45:41,TomaNro= 102,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.81, ºC     ,19:45:43,TomaNro= 103,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.75, ºC     ,19:45:44,TomaNro= 104,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.69, ºC     ,19:45:46,TomaNro= 105,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.63, ºC     ,19:45:48,TomaNro= 106,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.56, ºC     ,19:45:49,TomaNro= 107,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.5, ºC     ,19:45:51,TomaNro= 108,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.44, ºC     ,19:45:52,TomaNro= 109,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.38, ºC     ,19:45:54,TomaNro= 110,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.31, ºC     ,19:45:56,TomaNro= 111,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.25, ºC     ,19:45:58,TomaNro= 112,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.19, ºC     ,19:45:59,TomaNro= 113,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.13, ºC     ,19:46:1,TomaNro= 114,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.06, ºC     ,19:46:3,TomaNro= 115,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
10.0, ºC     ,19:46:4,TomaNro= 116,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
9.94, ºC     ,19:46:6,TomaNro= 117,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
9.88, ºC     ,19:46:8,TomaNro= 118,    T1 Goal: ,4.0,T2 Meta ,4.0,Modo ,2,
