  ,  , Corrida: ,118 seg ,  ,  , Peltier: ,21.37, ºC     , teInsta: ,21.09, ºC     , Disip: ,31.19, ºC     ,  ,22:42:3,  E: ,BALANCEconPWM=70,   TomaNro= 35,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,121 seg ,  ,  , Peltier: ,21.44, ºC     , teInsta: ,21.08, ºC     , Disip: ,31.19, ºC     ,  ,22:42:6,  E: ,BALANCEconPWM=72,   TomaNro= 36,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,130 seg ,  ,  , Peltier: ,21.37, ºC     , teInsta: ,21.08, ºC     , Disip: ,31.19, ºC     ,  ,22:42:15,  E: ,COOLINGconPWM=74,   TomaNro= 37,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,132 seg ,  ,  , Peltier: ,21.31, ºC     , teInsta: ,21.08, ºC     , Disip: ,31.19, ºC     ,  ,22:42:17,  E: ,BALANCEconPWM=72,   TomaNro= 38,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,135 seg ,  ,  , Peltier: ,21.25, ºC     , teInsta: ,21.07, ºC     , Disip: ,31.19, ºC     ,  ,22:42:20,  E: ,BALANCEconPWM=70,   TomaNro= 39,   Modo ,3,   EVENTO= 1,
  ,  , Corrida: ,140 seg ,  ,  , Peltier: ,21.31, ºC     , teInsta: ,21.07, ºC     , Disip: ,31.19, ºC     ,  ,22:42:25,  E: ,BALANCEconPWM=69,   TomaNro= 40,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,145 seg ,  ,  , Peltier: ,21.37, ºC     , teInsta: ,21.07, ºC     , Disip: ,31.19, ºC     ,  ,22:42:30,  E: ,BALANCEconPWM=70,   TomaNro= 41,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,150 seg ,  ,  , Peltier: ,21.44, ºC     , teInsta: ,21.07, ºC     , Disip: ,31.19, ºC     ,  ,22:42:35,  E: ,BALANCEconPWM=72,   TomaNro= 42,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,157 seg ,  ,  , Peltier: ,21.37, ºC     , teInsta: ,21.07, ºC     , Disip: ,31.19, ºC     ,  ,22:42:42,  E: ,COOLINGconPWM=74,   TomaNro= 43,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
  ,  , Corrida: ,159 seg ,  ,  , Peltier: ,21.31, ºC     , teInsta: ,21.07, ºC     , Disip: ,31.19, ºC     ,  ,22:42:44,  E: ,BALANCEconPWM=72,   TomaNro= 44,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,232.0,,
