22:44:46,TomaNro= 34,    Disip: ,33.56, ºC     , Peltier: ,22.37, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,212 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:44:52,TomaNro= 35,    Disip: ,33.56, ºC     , Peltier: ,24.87, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,218 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:44:58,TomaNro= 36,    Disip: ,33.56, ºC     , Peltier: ,25.79, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,224 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:45:4,TomaNro= 37,    Disip: ,33.56, ºC     , Peltier: ,25.34, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,230 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:45:10,TomaNro= 38,    Disip: ,33.56, ºC     , Peltier: ,24.5, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,236 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:45:16,TomaNro= 39,    Disip: ,33.56, ºC     , Peltier: ,23.56, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,242 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:45:22,TomaNro= 40,    Disip: ,33.56, ºC     , Peltier: ,22.63, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,248 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:45:28,TomaNro= 41,    Disip: ,33.56, ºC     , Peltier: ,21.63, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,254 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:45:35,TomaNro= 42,    Disip: ,33.56, ºC     , Peltier: ,20.86, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,261 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:45:41,TomaNro= 43,    Disip: ,33.56, ºC     , Peltier: ,22.05, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,267 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:45:47,TomaNro= 44,    Disip: ,33.56, ºC     , Peltier: ,24.81, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,273 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,BALANCEconPWM=255,
22:45:53,TomaNro= 45,    Disip: ,33.56, ºC     , Peltier: ,26.29, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,279 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:45:59,TomaNro= 46,    Disip: ,33.56, ºC     , Peltier: ,26.23, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,285 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:46:5,TomaNro= 47,    Disip: ,33.56, ºC     , Peltier: ,25.47, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,291 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:46:11,TomaNro= 48,    Disip: ,33.56, ºC     , Peltier: ,24.56, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,297 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:46:17,TomaNro= 49,    Disip: ,33.56, ºC     , Peltier: ,23.56, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,303 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:46:23,TomaNro= 50,    Disip: ,33.56, ºC     , Peltier: ,22.62, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,309 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:46:29,TomaNro= 51,    Disip: ,33.56, ºC     , Peltier: ,21.61, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,315 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:46:36,TomaNro= 52,    Disip: ,33.56, ºC     , Peltier: ,20.82, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,322 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:46:42,TomaNro= 53,    Disip: ,33.56, ºC     , Peltier: ,22.0, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,328 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:46:48,TomaNro= 54,    Disip: ,33.56, ºC     , Peltier: ,24.78, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,334 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,BALANCEconPWM=255,
22:46:54,TomaNro= 55,    Disip: ,33.56, ºC     , Peltier: ,26.27, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,340 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:47:0,TomaNro= 56,    Disip: ,33.56, ºC     , Peltier: ,26.19, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,346 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:47:6,TomaNro= 57,    Disip: ,33.56, ºC     , Peltier: ,25.44, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,352 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:47:12,TomaNro= 58,    Disip: ,33.56, ºC     , Peltier: ,24.5, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,358 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:47:18,TomaNro= 59,    Disip: ,33.56, ºC     , Peltier: ,23.54, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,364 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:47:24,TomaNro= 60,    Disip: ,33.56, ºC     , Peltier: ,22.57, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,370 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:47:30,TomaNro= 61,    Disip: ,33.56, ºC     , Peltier: ,21.58, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,376 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
