16.87, ºC     ,15:56:30,TomaNro= 89,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:56:31,TomaNro= 90,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:56:33,TomaNro= 91,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:33,TomaNro= 92,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:56:34,TomaNro= 93,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:56:35,TomaNro= 94,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:56:36,TomaNro= 95,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:56:36,TomaNro= 96,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:56:38,TomaNro= 97,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:39,TomaNro= 98,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:56:39,TomaNro= 99,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:56:40,TomaNro= 100,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:56:43,TomaNro= 101,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:44,TomaNro= 102,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:56:44,TomaNro= 103,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:56:45,TomaNro= 104,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.56, ºC     ,15:56:47,TomaNro= 105,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:56:47,TomaNro= 106,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:56:48,TomaNro= 107,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:56:49,TomaNro= 108,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:50,TomaNro= 109,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:56:51,TomaNro= 110,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:56:51,TomaNro= 111,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:56:52,TomaNro= 112,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:56:55,TomaNro= 113,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:56:56,TomaNro= 114,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:56:56,TomaNro= 115,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:56:57,TomaNro= 116,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:56:58,TomaNro= 117,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:57:0,TomaNro= 118,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:57:1,TomaNro= 119,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:57:2,TomaNro= 120,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:57:3,TomaNro= 121,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:57:3,TomaNro= 122,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:57:4,TomaNro= 123,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:57:5,TomaNro= 124,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:57:6,TomaNro= 125,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:57:8,TomaNro= 126,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:57:8,TomaNro= 127,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:57:9,TomaNro= 128,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:57:10,TomaNro= 129,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:57:11,TomaNro= 130,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.62, ºC     ,15:57:11,TomaNro= 131,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.69, ºC     ,15:57:12,TomaNro= 132,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:57:13,TomaNro= 133,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:57:14,TomaNro= 134,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:57:15,TomaNro= 135,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:57:16,TomaNro= 136,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:57:17,TomaNro= 137,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:57:17,TomaNro= 138,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:57:19,TomaNro= 139,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:57:20,TomaNro= 140,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:57:21,TomaNro= 141,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:57:22,TomaNro= 142,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:57:23,TomaNro= 143,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:57:26,TomaNro= 144,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:57:26,TomaNro= 145,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:57:27,TomaNro= 146,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:57:28,TomaNro= 147,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:57:29,TomaNro= 148,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:57:29,TomaNro= 149,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:57:32,TomaNro= 150,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:57:32,TomaNro= 151,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:57:33,TomaNro= 152,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:57:34,TomaNro= 153,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:57:36,TomaNro= 154,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:57:38,TomaNro= 155,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:57:38,TomaNro= 156,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:57:39,TomaNro= 157,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:57:40,TomaNro= 158,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:57:41,TomaNro= 159,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:57:43,TomaNro= 160,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:57:43,TomaNro= 161,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:57:44,TomaNro= 162,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:57:45,TomaNro= 163,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:57:46,TomaNro= 164,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.75, ºC     ,15:57:46,TomaNro= 165,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:57:48,TomaNro= 166,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:57:49,TomaNro= 167,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:57:50,TomaNro= 168,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
