
23:29:48,TomaNro= 41,    Disip: ,35.44, ºC     , Peltier: ,20.67, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,266 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:29:54,TomaNro= 42,    Disip: ,35.44, ºC     , Peltier: ,20.74, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,272 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:30:1,TomaNro= 43,    Disip: ,35.44, ºC     , Peltier: ,20.79, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,279 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:30:7,TomaNro= 44,    Disip: ,35.44, ºC     , Peltier: ,20.8, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,285 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,COOLINGconPWM=165,
23:30:14,TomaNro= 45,    Disip: ,35.44, ºC     , Peltier: ,20.39, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,292 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,COOLINGconPWM=165,
23:30:20,TomaNro= 46,    Disip: ,35.44, ºC     , Peltier: ,19.71, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,298 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:30:27,TomaNro= 47,    Disip: ,35.44, ºC     , Peltier: ,19.48, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,305 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:30:33,TomaNro= 48,    Disip: ,35.44, ºC     , Peltier: ,19.53, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,311 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:30:40,TomaNro= 49,    Disip: ,35.44, ºC     , Peltier: ,19.63, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,318 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,
23:30:46,TomaNro= 50,    Disip: ,35.44, ºC     , Peltier: ,19.74, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,324 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,1  E: ,BALANCEconPWM=165,


23:30:53,TomaNro= 51,    Disip: ,23.94, ºC     , Peltier: ,19.86, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,331 seg , T1 Goal: ,15.0,T2 Meta ,20.0,Modo ,3  E: ,BALANCEconPWM=165EVENTO= 1,
