21.0, ºC     ,20:2:34,TomaNro= 82,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.94, ºC     ,20:2:34,TomaNro= 83,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.0, ºC     ,20:2:35,TomaNro= 84,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
20.94, ºC     ,20:2:37,TomaNro= 85,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.0, ºC     ,20:2:38,TomaNro= 86,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.06, ºC     ,20:2:47,TomaNro= 87,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.12, ºC     ,20:2:58,TomaNro= 88,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.06, ºC     ,20:2:59,TomaNro= 89,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.12, ºC     ,20:3:0,TomaNro= 90,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.19, ºC     ,20:3:11,TomaNro= 91,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.25, ºC     ,20:3:26,TomaNro= 92,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.19, ºC     ,20:3:26,TomaNro= 93,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.25, ºC     ,20:3:27,TomaNro= 94,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.31, ºC     ,20:3:39,TomaNro= 95,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.25, ºC     ,20:3:40,TomaNro= 96,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.31, ºC     ,20:3:40,TomaNro= 97,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.37, ºC     ,20:3:57,TomaNro= 98,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.44, ºC     ,20:4:12,TomaNro= 99,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.37, ºC     ,20:4:12,TomaNro= 100,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.44, ºC     ,20:4:14,TomaNro= 101,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.5, ºC     ,20:4:34,TomaNro= 102,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.56, ºC     ,20:4:48,TomaNro= 103,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.5, ºC     ,20:4:49,TomaNro= 104,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.56, ºC     ,20:4:53,TomaNro= 105,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.62, ºC     ,20:5:17,TomaNro= 106,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.69, ºC     ,20:5:42,TomaNro= 107,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.62, ºC     ,20:5:43,TomaNro= 108,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.69, ºC     ,20:5:44,TomaNro= 109,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.62, ºC     ,20:5:45,TomaNro= 110,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.69, ºC     ,20:5:46,TomaNro= 111,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.75, ºC     ,20:6:19,TomaNro= 112,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.69, ºC     ,20:6:23,TomaNro= 113,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.75, ºC     ,20:6:24,TomaNro= 114,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:6:58,TomaNro= 115,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.75, ºC     ,20:6:59,TomaNro= 116,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:7:3,TomaNro= 117,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.75, ºC     ,20:7:4,TomaNro= 118,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:7:5,TomaNro= 119,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.75, ºC     ,20:7:6,TomaNro= 120,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:7:7,TomaNro= 121,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.75, ºC     ,20:7:9,TomaNro= 122,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:7:10,TomaNro= 123,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.75, ºC     ,20:7:11,TomaNro= 124,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:7:12,TomaNro= 125,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.75, ºC     ,20:7:12,TomaNro= 126,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:7:13,TomaNro= 127,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:8:15,TomaNro= 128,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:8:16,TomaNro= 129,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:8:17,TomaNro= 130,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:8:18,TomaNro= 131,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:8:19,TomaNro= 132,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:8:20,TomaNro= 133,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:8:22,TomaNro= 134,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:8:23,TomaNro= 135,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:8:25,TomaNro= 136,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:8:25,TomaNro= 137,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:8:26,TomaNro= 138,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:8:28,TomaNro= 139,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:8:29,TomaNro= 140,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:8:31,TomaNro= 141,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:8:33,TomaNro= 142,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:8:40,TomaNro= 143,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:8:40,TomaNro= 144,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:8:50,TomaNro= 145,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:8:50,TomaNro= 146,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:9:0,TomaNro= 147,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:9:1,TomaNro= 148,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:9:10,TomaNro= 149,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:9:10,TomaNro= 150,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:9:43,TomaNro= 151,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:9:44,TomaNro= 152,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:10:14,TomaNro= 153,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:10:15,TomaNro= 154,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:10:26,TomaNro= 155,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:10:27,TomaNro= 156,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:10:29,TomaNro= 157,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:10:30,TomaNro= 158,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:10:31,TomaNro= 159,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:10:32,TomaNro= 160,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:10:35,TomaNro= 161,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:10:35,TomaNro= 162,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:10:36,TomaNro= 163,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:10:37,TomaNro= 164,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.81, ºC     ,20:10:38,TomaNro= 165,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
21.87, ºC     ,20:10:39,TomaNro= 166,    T1 Goal: ,19.0,T2 Meta ,34.0,Modo ,2,
