16:19:19,TomaNro= 35,    Disip: ,33.38, ºC     , Peltier: ,17.57, ºC     , teInsta: ,17.15, ºC     , teAire: ,25.0, ºC     , Corrida: ,228 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=225,
16:19:26,TomaNro= 36,    Disip: ,33.38, ºC     , Peltier: ,16.82, ºC     , teInsta: ,17.15, ºC     , teAire: ,25.0, ºC     , Corrida: ,235 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:19:32,TomaNro= 37,    Disip: ,33.38, ºC     , Peltier: ,16.76, ºC     , teInsta: ,17.15, ºC     , teAire: ,25.0, ºC     , Corrida: ,241 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:19:39,TomaNro= 38,    Disip: ,33.38, ºC     , Peltier: ,17.1, ºC     , teInsta: ,17.13, ºC     , teAire: ,25.0, ºC     , Corrida: ,248 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:19:46,TomaNro= 39,    Disip: ,33.38, ºC     , Peltier: ,17.54, ºC     , teInsta: ,17.13, ºC     , teAire: ,25.0, ºC     , Corrida: ,255 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:19:52,TomaNro= 40,    Disip: ,33.38, ºC     , Peltier: ,17.97, ºC     , teInsta: ,17.13, ºC     , teAire: ,25.0, ºC     , Corrida: ,261 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:20:0,TomaNro= 41,    Disip: ,31.5, ºC     , Peltier: ,18.36, ºC     , teInsta: ,17.13, ºC     , teAire: ,25.0, ºC     , Corrida: ,268 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=183,
16:20:6,TomaNro= 42,    Disip: ,31.5, ºC     , Peltier: ,18.18, ºC     , teInsta: ,17.13, ºC     , teAire: ,25.0, ºC     , Corrida: ,275 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=245,
16:20:12,TomaNro= 43,    Disip: ,31.5, ºC     , Peltier: ,17.5, ºC     , teInsta: ,17.13, ºC     , teAire: ,25.0, ºC     , Corrida: ,281 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=225,
16:20:19,TomaNro= 44,    Disip: ,31.5, ºC     , Peltier: ,16.71, ºC     , teInsta: ,17.13, ºC     , teAire: ,25.0, ºC     , Corrida: ,288 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:20:25,TomaNro= 45,    Disip: ,31.5, ºC     , Peltier: ,16.62, ºC     , teInsta: ,17.13, ºC     , teAire: ,25.0, ºC     , Corrida: ,294 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:20:32,TomaNro= 46,    Disip: ,31.5, ºC     , Peltier: ,16.96, ºC     , teInsta: ,17.13, ºC     , teAire: ,25.0, ºC     , Corrida: ,301 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:20:39,TomaNro= 47,    Disip: ,31.5, ºC     , Peltier: ,17.36, ºC     , teInsta: ,17.11, ºC     , teAire: ,25.0, ºC     , Corrida: ,308 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:20:45,TomaNro= 48,    Disip: ,31.5, ºC     , Peltier: ,17.76, ºC     , teInsta: ,17.11, ºC     , teAire: ,25.0, ºC     , Corrida: ,314 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:20:52,TomaNro= 49,    Disip: ,31.5, ºC     , Peltier: ,18.14, ºC     , teInsta: ,17.11, ºC     , teAire: ,25.0, ºC     , Corrida: ,321 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:20:58,TomaNro= 50,    Disip: ,31.5, ºC     , Peltier: ,18.41, ºC     , teInsta: ,17.11, ºC     , teAire: ,25.0, ºC     , Corrida: ,327 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=212,
16:21:4,TomaNro= 51,    Disip: ,31.5, ºC     , Peltier: ,18.15, ºC     , teInsta: ,17.11, ºC     , teAire: ,24.75, ºC     , Corrida: ,333 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=250,
16:21:10,TomaNro= 52,    Disip: ,31.5, ºC     , Peltier: ,17.36, ºC     , teInsta: ,17.11, ºC     , teAire: ,24.75, ºC     , Corrida: ,339 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=212,
